ID,ADM1_CODE,ADM1_NAME,XCOORD,YCOORD,ELEVATION,SLOPE,ASPECT
5139700,2716,Andalucia,-4.416973,37.392709,694,5.65666,197.44719
5139800,2716,Andalucia,-4.371797,37.393242,596,6.87507,201.68228
5139900,2716,Andalucia,-4.32662,37.393757,725,13.41194,300.63
5140000,2716,Andalucia,-4.281442,37.394256,1015,27.93023,326.63364
5140100,2716,Andalucia,-4.236262,37.394737,1104,23.39605,338.39777
5140200,2716,Andalucia,-4.191082,37.395201,638,8.74981,105.25512
5140300,2716,Andalucia,-4.1459,37.395647,1111,30.71986,345.93219
5140400,2716,Andalucia,-4.100717,37.396076,820,9.07535,159.72733
5140500,2716,Andalucia,-4.055534,37.396488,1028,14.19691,205.60794
5140600,2716,Andalucia,-4.01035,37.396883,1031,1.52312,203.96249
5140700,2716,Andalucia,-3.965164,37.397261,909,5.92168,218.65981
5140800,2716,Andalucia,-3.919978,37.397621,919,8.57704,224.27478
5140900,2716,Andalucia,-3.874791,37.397964,1027,8.85516,98.97263
5141000,2716,Andalucia,-3.829604,37.39829,894,6.29682,165.11374
5141100,2716,Andalucia,-3.784415,37.398598,986,6.29402,158.45901
5141200,2716,Andalucia,-3.739226,37.398889,1113,20.38114,351.22217
5141300,2716,Andalucia,-3.694037,37.399163,883,5.79378,3.81407
5141400,2716,Andalucia,-3.648847,37.39942,1224,9.29184,280.93909
5141500,2716,Andalucia,-3.603656,37.399659,1026,15.40272,155.69545
5141600,2716,Andalucia,-3.558465,37.399881,838,1.03177,167.00539
5141700,2716,Andalucia,-3.513273,37.400086,814,19.20234,359.55585
5141800,2716,Andalucia,-3.468081,37.400273,945,2.35985,211.60751
5141900,2716,Andalucia,-3.422888,37.400444,994,3.65069,186.07245
5142000,2716,Andalucia,-3.377695,37.400597,1093,2.07443,63.43495
5142100,2716,Andalucia,-3.332502,37.400732,1182,11.34716,5.40379
5142200,2716,Andalucia,-3.287308,37.400851,1045,5.06205,352.11685
5142300,2716,Andalucia,-3.242114,37.400952,1003,0.65625,45
5142400,2716,Andalucia,-3.19692,37.401036,908,7.23323,91.21887
5142500,2716,Andalucia,-3.151726,37.401103,869,1.90953,31.75948
5142600,2716,Andalucia,-3.106532,37.401152,1028,0.85422,354.80557
5142700,2716,Andalucia,-3.061337,37.401184,1086,0.90189,300.96375
5142800,2716,Andalucia,-3.016143,37.401199,1178,0.79624,299.05463
5142900,2716,Andalucia,-2.970949,37.401196,1236,2.05418,250.20113
5143000,2716,Andalucia,-2.925754,37.401177,1275,4.23978,326.88867
5143100,2716,Andalucia,-2.88056,37.40114,1761,23.72933,156.66278
5143200,2716,Andalucia,-2.835365,37.401085,1803,15.32642,251.02959
5143300,2716,Andalucia,-2.790171,37.401014,1324,6.92693,0
5143400,2716,Andalucia,-2.744977,37.400925,1076,10.44947,70.76933
5143500,2716,Andalucia,-2.699784,37.400819,1012,3.00072,11.88866
5143600,2716,Andalucia,-2.65459,37.400695,1004,0.90189,239.03624
5143700,2716,Andalucia,-2.609397,37.400555,977,1.22272,198.43495
5143800,2716,Andalucia,-2.564204,37.400397,1084,1.80334,30.96376
5143900,2716,Andalucia,-2.519012,37.400222,1042,16.39857,22.09423
5144000,2716,Andalucia,-2.47382,37.400029,933,7.54052,101.76829
5144100,2716,Andalucia,-2.428628,37.399819,889,4.42075,245.22485
5144200,2716,Andalucia,-2.383437,37.399592,966,13.03423,355.65253
5144300,2716,Andalucia,-2.338246,37.399348,1056,23.81668,252.00833
5144400,2716,Andalucia,-2.293056,37.399087,751,16.81424,104.22247
5144500,2716,Andalucia,-2.247867,37.398808,586,6.61476,155.22485
5144600,2716,Andalucia,-2.202678,37.398512,508,3.82261,188.1301
5144700,2716,Andalucia,-2.15749,37.398198,454,1.80334,120.96376
5144800,2716,Andalucia,-2.112302,37.397868,448,0.88178,164.74487
5144900,2716,Andalucia,-2.067116,37.39752,549,17.36524,261.31024
5145000,2716,Andalucia,-2.02193,37.397155,329,5.70447,108.92464
5145100,2716,Andalucia,-1.976745,37.396772,295,9.5942,63.43495
5145200,2716,Andalucia,-1.931561,37.396373,275,0.88178,195.25513
5145300,2716,Andalucia,-1.886377,37.395956,314,2.05418,340.20111
5145400,2731,"Murcia, Region De",-1.841195,37.395521,433,18.86865,27.77962
5145500,2716,Andalucia,-1.796014,37.39507,228,0.54688,135
5145600,2731,"Murcia, Region De",-1.750834,37.394601,177,0.65625,225
5145700,2731,"Murcia, Region De",-1.705654,37.394115,346,15.5846,332.9389
5145800,2731,"Murcia, Region De",-1.660476,37.393612,51,2.1228,146.88866
5145900,2731,"Murcia, Region De",-1.615299,37.393091,9,0.90189,149.03624
5161600,2716,Andalucia,-7.391995,37.283554,76,2.35985,211.60751
5161700,2716,Andalucia,-7.347002,37.285218,52,0.77338,216.8699
5161800,2716,Andalucia,-7.302005,37.286865,60,1.24692,97.12502
5161900,2716,Andalucia,-7.257005,37.288495,57,2.34717,162.75854
5162000,2716,Andalucia,-7.212001,37.290108,33,1.65475,142.59464
5162100,2716,Andalucia,-7.166993,37.291704,22,2.44432,198.43495
5162200,2716,Andalucia,-7.121982,37.293283,37,1.65475,142.59464
5162300,2716,Andalucia,-7.076968,37.294845,54,0.48915,161.56505
5162400,2716,Andalucia,-7.03195,37.29639,34,1.64025,171.8699
5162500,2716,Andalucia,-6.986928,37.297917,12,1.18295,11.30993
5162600,2716,Andalucia,-6.941903,37.299428,6,1.64025,278.1301
5162700,2716,Andalucia,-6.896875,37.300921,2,0.10938,225
5162800,2716,Andalucia,-6.851844,37.302398,4,0.45097,30.96376
5162900,2716,Andalucia,-6.806809,37.303857,3,0.70034,353.65979
5163000,2716,Andalucia,-6.761771,37.305299,6,0.32814,225
5163100,2716,Andalucia,-6.71673,37.306724,72,4.48736,3.94518
5163200,2716,Andalucia,-6.671686,37.308132,127,2.7346,227.2906
5163300,2716,Andalucia,-6.626639,37.309523,116,2.88527,187.69604
5163400,2716,Andalucia,-6.581588,37.310897,106,1.5771,101.30994
5163500,2716,Andalucia,-6.536535,37.312254,97,2.49267,29.74488
5163600,2716,Andalucia,-6.491478,37.313594,118,1.62561,182.72632
5163700,2716,Andalucia,-6.446419,37.314916,126,1.76652,293.19861
5163800,2716,Andalucia,-6.401357,37.316221,97,1.3527,210.96375
5163900,2716,Andalucia,-6.356291,37.31751,81,2.94255,23.19859
5164000,2716,Andalucia,-6.311223,37.318781,87,1.51919,14.74356
5164100,2716,Andalucia,-6.266152,37.320035,29,0.79624,119.0546
5164200,2716,Andalucia,-6.221079,37.321272,89,1.03177,192.99461
5164300,2716,Andalucia,-6.176002,37.322491,75,1.64389,131.18593
5164400,2716,Andalucia,-6.130923,37.323694,74,0.88178,142.12502
5164500,2716,Andalucia,-6.085841,37.324879,53,0.45097,210.96375
5164600,2716,Andalucia,-6.040757,37.326048,31,3.77249,157.10945
5164700,2716,Andalucia,-5.99567,37.327199,0,0.54688,135
5164800,2716,Andalucia,-5.95058,37.328333,34,1.09912,309.28943
5164900,2716,Andalucia,-5.905488,37.32945,84,2.86869,4.63546
5165000,2716,Andalucia,-5.860394,37.330549,47,4.58414,135
