"ID,N,10,0","XCOORD,N,21,6","YCOORD,N,21,6"
64493,-130000.000000,9407000.000000
64494,-126000.000000,9407000.000000
64495,-122000.000000,9407000.000000
64496,-118000.000000,9407000.000000
64497,-114000.000000,9407000.000000
64498,-110000.000000,9407000.000000
64499,-106000.000000,9407000.000000
64500,-102000.000000,9407000.000000
64501,-98000.000000,9407000.000000
64502,-94000.000000,9407000.000000
64503,-90000.000000,9407000.000000
64504,-86000.000000,9407000.000000
64505,-82000.000000,9407000.000000
64506,-78000.000000,9407000.000000
64507,-74000.000000,9407000.000000
64508,-70000.000000,9407000.000000
64509,-66000.000000,9407000.000000
64510,-62000.000000,9407000.000000
64511,-58000.000000,9407000.000000
64512,-54000.000000,9407000.000000
64513,-50000.000000,9407000.000000
64514,-46000.000000,9407000.000000
64515,-42000.000000,9407000.000000
65005,-162000.000000,9403000.000000
65006,-158000.000000,9403000.000000
65007,-154000.000000,9403000.000000
65008,-150000.000000,9403000.000000
65009,-146000.000000,9403000.000000
65010,-142000.000000,9403000.000000
65011,-138000.000000,9403000.000000
65012,-134000.000000,9403000.000000
65013,-130000.000000,9403000.000000
65014,-126000.000000,9403000.000000
65015,-122000.000000,9403000.000000
65016,-118000.000000,9403000.000000
65017,-114000.000000,9403000.000000
65018,-110000.000000,9403000.000000
65019,-106000.000000,9403000.000000
65020,-102000.000000,9403000.000000
65021,-98000.000000,9403000.000000
65022,-94000.000000,9403000.000000
65023,-90000.000000,9403000.000000
65024,-86000.000000,9403000.000000
65025,-82000.000000,9403000.000000
65026,-78000.000000,9403000.000000
65027,-74000.000000,9403000.000000
65028,-70000.000000,9403000.000000
65029,-66000.000000,9403000.000000
65030,-62000.000000,9403000.000000
65031,-58000.000000,9403000.000000
65032,-54000.000000,9403000.000000
65033,-50000.000000,9403000.000000
65034,-46000.000000,9403000.000000
65035,-42000.000000,9403000.000000
65036,-38000.000000,9403000.000000
65525,-162000.000000,9399000.000000
65526,-158000.000000,9399000.000000
65527,-154000.000000,9399000.000000
65528,-150000.000000,9399000.000000
65529,-146000.000000,9399000.000000
65530,-142000.000000,9399000.000000
65531,-138000.000000,9399000.000000
65532,-134000.000000,9399000.000000
65533,-130000.000000,9399000.000000
65534,-126000.000000,9399000.000000
65535,-122000.000000,9399000.000000
65536,-118000.000000,9399000.000000
65537,-114000.000000,9399000.000000
65538,-110000.000000,9399000.000000
65539,-106000.000000,9399000.000000
65540,-102000.000000,9399000.000000
65541,-98000.000000,9399000.000000
65542,-94000.000000,9399000.000000
65543,-90000.000000,9399000.000000
65544,-86000.000000,9399000.000000
65545,-82000.000000,9399000.000000
65546,-78000.000000,9399000.000000
65547,-74000.000000,9399000.000000
65548,-70000.000000,9399000.000000
65549,-66000.000000,9399000.000000
65550,-62000.000000,9399000.000000
65551,-58000.000000,9399000.000000
65552,-54000.000000,9399000.000000
65553,-50000.000000,9399000.000000
65554,-46000.000000,9399000.000000
65555,-42000.000000,9399000.000000
65556,-38000.000000,9399000.000000
