"ID,N,10,0","XCOORD,N,21,6","YCOORD,N,21,6"
17857,526000.000000,9767000.000000
18358,450000.000000,9763000.000000
18359,454000.000000,9763000.000000
18360,458000.000000,9763000.000000
18361,462000.000000,9763000.000000
18364,474000.000000,9763000.000000
18365,478000.000000,9763000.000000
18366,482000.000000,9763000.000000
18367,486000.000000,9763000.000000
18368,490000.000000,9763000.000000
18369,494000.000000,9763000.000000
18370,498000.000000,9763000.000000
18371,502000.000000,9763000.000000
18372,506000.000000,9763000.000000
18373,510000.000000,9763000.000000
18374,514000.000000,9763000.000000
18375,518000.000000,9763000.000000
18376,522000.000000,9763000.000000
18377,526000.000000,9763000.000000
18877,446000.000000,9759000.000000
18878,450000.000000,9759000.000000
18879,454000.000000,9759000.000000
18880,458000.000000,9759000.000000
18881,462000.000000,9759000.000000
18882,466000.000000,9759000.000000
18886,482000.000000,9759000.000000
18887,486000.000000,9759000.000000
18888,490000.000000,9759000.000000
18889,494000.000000,9759000.000000
18890,498000.000000,9759000.000000
18891,502000.000000,9759000.000000
18892,506000.000000,9759000.000000
18893,510000.000000,9759000.000000
18895,518000.000000,9759000.000000
18896,522000.000000,9759000.000000
19398,450000.000000,9755000.000000
19432,586000.000000,9755000.000000
19444,634000.000000,9755000.000000
19953,590000.000000,9751000.000000
20473,590000.000000,9747000.000000
20474,594000.000000,9747000.000000
20993,590000.000000,9743000.000000
20994,594000.000000,9743000.000000
22020,538000.000000,9735000.000000
22021,542000.000000,9735000.000000
44302,226000.000000,9563000.000000
44822,226000.000000,9559000.000000
45342,226000.000000,9555000.000000
45343,230000.000000,9555000.000000
45344,234000.000000,9555000.000000
45345,238000.000000,9555000.000000
45862,226000.000000,9551000.000000
45863,230000.000000,9551000.000000
45864,234000.000000,9551000.000000
45865,238000.000000,9551000.000000
45866,242000.000000,9551000.000000
45867,246000.000000,9551000.000000
45875,278000.000000,9551000.000000
45876,282000.000000,9551000.000000
45877,286000.000000,9551000.000000
46382,226000.000000,9547000.000000
46383,230000.000000,9547000.000000
46384,234000.000000,9547000.000000
46385,238000.000000,9547000.000000
46386,242000.000000,9547000.000000
46387,246000.000000,9547000.000000
46388,250000.000000,9547000.000000
46389,254000.000000,9547000.000000
46396,282000.000000,9547000.000000
46397,286000.000000,9547000.000000
46902,226000.000000,9543000.000000
46903,230000.000000,9543000.000000
46904,234000.000000,9543000.000000
46905,238000.000000,9543000.000000
46906,242000.000000,9543000.000000
46907,246000.000000,9543000.000000
46908,250000.000000,9543000.000000
46909,254000.000000,9543000.000000
46910,258000.000000,9543000.000000
46911,262000.000000,9543000.000000
47422,226000.000000,9539000.000000
47423,230000.000000,9539000.000000
47424,234000.000000,9539000.000000
47425,238000.000000,9539000.000000
47426,242000.000000,9539000.000000
47427,246000.000000,9539000.000000
47428,250000.000000,9539000.000000
47429,254000.000000,9539000.000000
47430,258000.000000,9539000.000000
47943,230000.000000,9535000.000000
47944,234000.000000,9535000.000000
47945,238000.000000,9535000.000000
47946,242000.000000,9535000.000000
47947,246000.000000,9535000.000000
47948,250000.000000,9535000.000000
47949,254000.000000,9535000.000000
47950,258000.000000,9535000.000000
47951,262000.000000,9535000.000000
47952,266000.000000,9535000.000000
48463,230000.000000,9531000.000000
48464,234000.000000,9531000.000000
48465,238000.000000,9531000.000000
48466,242000.000000,9531000.000000
48467,246000.000000,9531000.000000
48468,250000.000000,9531000.000000
48469,254000.000000,9531000.000000
48470,258000.000000,9531000.000000
48471,262000.000000,9531000.000000
48472,266000.000000,9531000.000000
48473,270000.000000,9531000.000000
48983,230000.000000,9527000.000000
48984,234000.000000,9527000.000000
48985,238000.000000,9527000.000000
48986,242000.000000,9527000.000000
48987,246000.000000,9527000.000000
48988,250000.000000,9527000.000000
