"ID,N,10,0","XCOORD,N,21,6","YCOORD,N,21,6"
32259,-106000.000000,9655000.000000
32260,-102000.000000,9655000.000000
32261,-98000.000000,9655000.000000
32262,-94000.000000,9655000.000000
32263,-90000.000000,9655000.000000
32264,-86000.000000,9655000.000000
32265,-82000.000000,9655000.000000
32266,-78000.000000,9655000.000000
32267,-74000.000000,9655000.000000
32268,-70000.000000,9655000.000000
32269,-66000.000000,9655000.000000
32270,-62000.000000,9655000.000000
32271,-58000.000000,9655000.000000
32272,-54000.000000,9655000.000000
32273,-50000.000000,9655000.000000
32274,-46000.000000,9655000.000000
32275,-42000.000000,9655000.000000
32276,-38000.000000,9655000.000000
32277,-34000.000000,9655000.000000
32278,-30000.000000,9655000.000000
32764,-166000.000000,9651000.000000
32765,-162000.000000,9651000.000000
32766,-158000.000000,9651000.000000
32767,-154000.000000,9651000.000000
32768,-150000.000000,9651000.000000
32769,-146000.000000,9651000.000000
32770,-142000.000000,9651000.000000
32771,-138000.000000,9651000.000000
32772,-134000.000000,9651000.000000
32773,-130000.000000,9651000.000000
32774,-126000.000000,9651000.000000
32775,-122000.000000,9651000.000000
32776,-118000.000000,9651000.000000
32777,-114000.000000,9651000.000000
32778,-110000.000000,9651000.000000
32779,-106000.000000,9651000.000000
32780,-102000.000000,9651000.000000
32781,-98000.000000,9651000.000000
32782,-94000.000000,9651000.000000
32783,-90000.000000,9651000.000000
32784,-86000.000000,9651000.000000
32785,-82000.000000,9651000.000000
32786,-78000.000000,9651000.000000
32787,-74000.000000,9651000.000000
32788,-70000.000000,9651000.000000
32789,-66000.000000,9651000.000000
32790,-62000.000000,9651000.000000
32791,-58000.000000,9651000.000000
32792,-54000.000000,9651000.000000
32793,-50000.000000,9651000.000000
32794,-46000.000000,9651000.000000
32795,-42000.000000,9651000.000000
32796,-38000.000000,9651000.000000
32797,-34000.000000,9651000.000000
32798,-30000.000000,9651000.000000
32799,-26000.000000,9651000.000000
32800,-22000.000000,9651000.000000
32801,-18000.000000,9651000.000000
33284,-166000.000000,9647000.000000
33285,-162000.000000,9647000.000000
33286,-158000.000000,9647000.000000
33287,-154000.000000,9647000.000000
33288,-150000.000000,9647000.000000
33289,-146000.000000,9647000.000000
33290,-142000.000000,9647000.000000
33291,-138000.000000,9647000.000000
33292,-134000.000000,9647000.000000
33293,-130000.000000,9647000.000000
33294,-126000.000000,9647000.000000
33295,-122000.000000,9647000.000000
33296,-118000.000000,9647000.000000
33297,-114000.000000,9647000.000000
33298,-110000.000000,9647000.000000
33299,-106000.000000,9647000.000000
33300,-102000.000000,9647000.000000
33301,-98000.000000,9647000.000000
33302,-94000.000000,9647000.000000
33303,-90000.000000,9647000.000000
33304,-86000.000000,9647000.000000
33305,-82000.000000,9647000.000000
33306,-78000.000000,9647000.000000
33307,-74000.000000,9647000.000000
33308,-70000.000000,9647000.000000
33309,-66000.000000,9647000.000000
33310,-62000.000000,9647000.000000
33311,-58000.000000,9647000.000000
33312,-54000.000000,9647000.000000
33313,-50000.000000,9647000.000000
33314,-46000.000000,9647000.000000
33315,-42000.000000,9647000.000000
33316,-38000.000000,9647000.000000
33317,-34000.000000,9647000.000000
33318,-30000.000000,9647000.000000
33319,-26000.000000,9647000.000000
33320,-22000.000000,9647000.000000
33321,-18000.000000,9647000.000000
33322,-14000.000000,9647000.000000
33323,-10000.000000,9647000.000000
33804,-166000.000000,9643000.000000
33805,-162000.000000,9643000.000000
33806,-158000.000000,9643000.000000
33807,-154000.000000,9643000.000000
33808,-150000.000000,9643000.000000
33809,-146000.000000,9643000.000000
33810,-142000.000000,9643000.000000
33811,-138000.000000,9643000.000000
33812,-134000.000000,9643000.000000
33813,-130000.000000,9643000.000000
33814,-126000.000000,9643000.000000
33815,-122000.000000,9643000.000000
33816,-118000.000000,9643000.000000
33817,-114000.000000,9643000.000000
33818,-110000.000000,9643000.000000
33819,-106000.000000,9643000.000000
33820,-102000.000000,9643000.000000
33821,-98000.000000,9643000.000000
33822,-94000.000000,9643000.000000
33823,-90000.000000,9643000.000000
33824,-86000.000000,9643000.000000
33825,-82000.000000,9643000.000000
33826,-78000.000000,9643000.000000
33827,-74000.000000,9643000.000000
33828,-70000.000000,9643000.000000
33829,-66000.000000,9643000.000000
33830,-62000.000000,9643000.000000
33831,-58000.000000,9643000.000000
33832,-54000.000000,9643000.000000
33833,-50000.000000,9643000.000000
33834,-46000.000000,9643000.000000
33835,-42000.000000,9643000.000000
33836,-38000.000000,9643000.000000
33837,-34000.000000,9643000.000000
