"ID,N,10,0","XCOORD,N,21,6","YCOORD,N,21,6"
64572,186000.000000,9407000.000000
64573,190000.000000,9407000.000000
64574,194000.000000,9407000.000000
64575,198000.000000,9407000.000000
64576,202000.000000,9407000.000000
65037,-34000.000000,9403000.000000
65038,-30000.000000,9403000.000000
65039,-26000.000000,9403000.000000
65040,-22000.000000,9403000.000000
65041,-18000.000000,9403000.000000
65042,-14000.000000,9403000.000000
65043,-10000.000000,9403000.000000
65044,-6000.000000,9403000.000000
65045,-2000.000000,9403000.000000
65046,2000.000000,9403000.000000
65047,6000.000000,9403000.000000
65048,10000.000000,9403000.000000
65049,14000.000000,9403000.000000
65050,18000.000000,9403000.000000
65051,22000.000000,9403000.000000
65052,26000.000000,9403000.000000
65053,30000.000000,9403000.000000
65054,34000.000000,9403000.000000
65055,38000.000000,9403000.000000
65056,42000.000000,9403000.000000
65057,46000.000000,9403000.000000
65058,50000.000000,9403000.000000
65059,54000.000000,9403000.000000
65060,58000.000000,9403000.000000
65061,62000.000000,9403000.000000
65062,66000.000000,9403000.000000
65063,70000.000000,9403000.000000
65064,74000.000000,9403000.000000
65065,78000.000000,9403000.000000
65066,82000.000000,9403000.000000
65067,86000.000000,9403000.000000
65068,90000.000000,9403000.000000
65069,94000.000000,9403000.000000
65070,98000.000000,9403000.000000
65071,102000.000000,9403000.000000
65072,106000.000000,9403000.000000
65073,110000.000000,9403000.000000
65074,114000.000000,9403000.000000
65075,118000.000000,9403000.000000
65076,122000.000000,9403000.000000
65077,126000.000000,9403000.000000
65078,130000.000000,9403000.000000
65079,134000.000000,9403000.000000
65080,138000.000000,9403000.000000
65081,142000.000000,9403000.000000
65082,146000.000000,9403000.000000
65083,150000.000000,9403000.000000
65084,154000.000000,9403000.000000
65085,158000.000000,9403000.000000
65086,162000.000000,9403000.000000
65087,166000.000000,9403000.000000
65088,170000.000000,9403000.000000
65089,174000.000000,9403000.000000
65090,178000.000000,9403000.000000
65091,182000.000000,9403000.000000
65092,186000.000000,9403000.000000
65093,190000.000000,9403000.000000
65094,194000.000000,9403000.000000
65095,198000.000000,9403000.000000
65096,202000.000000,9403000.000000
65097,206000.000000,9403000.000000
65557,-34000.000000,9399000.000000
65558,-30000.000000,9399000.000000
65559,-26000.000000,9399000.000000
65560,-22000.000000,9399000.000000
65561,-18000.000000,9399000.000000
